Gender,In which year of your studies are you currently enrolled:,BAC specialty,How many hours per week do you spend studying (personnal efforts):,Where do you prefer to study:,You prefer to study alone: ,What learning methods do help you understand better: ,What types of resources do you use most:,Do you use a planer or a schedule,Problems,2. Second:,3. Third:,4. Forth:,5. Fifth:,6. sixth:,7. seventh:,8. eighth,Rate your satisfaction with the schools program:,Do you engage in any external activities (not related to the study field):,Your level of motivation for joining ENSIA,How much do you like the field of Artificial Intelligence :,How do others feedbacks influence you:,How many hours do you sleep ,How well do you handle stress and pressure :,"In a scale of 1 to 10 how do you rate your level in the following fields:
1. English:","2. Programming:
",3. Computer science:,4. Mathematics,1Y_Intensive english,1Y_Seminar,1Y_CPSCT,1Y_Analysis I,1Y_Algebra,1Y_A. Com. I,1Y_Average S1,1Y_Intro. Prog. C++,1Y_Analysis II,1Y_A. Com. II,1Y_OOP,1Y_Linear Algebra,1Y_Proba Stat,1Y_Average S2,1Y_Average,2Y_Analysis III,2Y_DSA,2Y_Archi 1,2Y_Logic,2Y_Complexity,2Y_Proba Stat II,2Y_Lin. Alg II,2Y_DataBases,2Y_Average S1,2Y_Intro AI,2Y_Oper. res,2Y_Archi II,2Y_Oper. Syst,2Y_Soft. Eng.,2Y_Web Prog.,2Y_Intro. Busin.,2Y_Average S2,2Y_Average
Male,First year,Mathematics,"10-17",In your room (dorms),In peer,Mind mapping and visualization,YouTube videos,No,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of time,Pressure,Teaching language,Bad quality of internet,Not having a good (powerful) computer,3,Yes,3,3,You do not care about,5-7 hours,3,7,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Science,"26-33",In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Bad quality of internet,Teaching language,Pressure,Private life problems,3,Yes,4,5,Positively,5-7 hours,5,8,8,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"18-25",In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, YouTube videos",No,Lack of previous knowledge or experience in the field,Private life problems,Pressure,Pressure,Bad quality of internet,Lack of time,Not having a good (powerful) computer,Teaching language,2,No,4,5,You do not care about,5-7 hours,2,9,4,5,7,Very High,High,Moderate,High,Moderate,High,13,Moderate,Moderate,Moderate,Moderate,High,Moderate,11,12,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"18-25",In the school's library,In peer,"Lectures, Learning by practicing, Project-based learning","Books, Online documents, YouTube videos",No,Private life problems,Teachers' teaching method,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,1,No,4,5,Negatively,8 hours or more,2,8,7,8,3,High,High,High,Very High,High,Moderate,15,High,High,High,High,Moderate,Moderate,13,13,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"10-17",In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,Lack of time,Lack of time,4,No,4,4,You do not care about,5-7 hours,4,6,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"10-17",At home,Alone,Learning by practicing,YouTube videos,No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Private life problems,Teaching language,Bad quality of internet,Not having a good (powerful) computer,2,Yes,3,5,You do not care about,5-7 hours,2,7,5,5,3,High,High,High,Very High,Moderate,Moderate,12,Moderate,High,High,High,Moderate,Moderate,11,11,,,,,,,,,,,,,,,,,,
Male,Third year,Mathematics,"18-25",In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online documents, YouTube videos",No,Private life problems,Pressure,Lack of time,Bad quality of internet,Not having a good (powerful) computer,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,3,No,4,4,You do not care about,8 hours or more,3,7,8,7,7,,,,,,,,,,,,,,,,Very High,High,Very High,Very High,Very High,Very High,High,High,Very High,High,High,High,Very High,High,High,High,15,16
Male,First year,Mathematics,"10-17",In your room (dorms),Alone,Lectures,Pdf course ,No,Pressure,Not having a good (powerful) computer,Bad quality of internet,Lack of time,Private life problems,Teaching language,Teachers' teaching method,Lack of previous knowledge or experience in the field,3,No,3,3,You do not care about,5-7 hours,5,7,9,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Science,"26-33",In the school's library,Alone,Online courses and tutorials,YouTube videos,Yes,Private life problems,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,4,No,5,5,Positively,5-7 hours,3,8,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, YouTube videos",No,Lack of time,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Private life problems,2,Yes,4,5,Positively,5-7 hours,4,8,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Third year,Mathematics,"18-25",In your room (dorms),With a group,Learning by practicing,Just lectures nothing else ,Yes,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Lack of time,Bad quality of internet,Not having a good (powerful) computer,Private life problems,2,No,3,4,Positively,5-7 hours,4,7,5,5,7,,,,,,,,,,,,,,,,Very High,High,Moderate,High,High,High,High,High,High,Moderate,High,High,Very High,High,High,High,14,14
Female,First year,Science,"More than 41 hours",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Online documents, YouTube videos, The Indian guy on YouTube ??",Yes,Pressure,Lack of time,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,Bad quality of internet,Private life problems,2,No,5,5,Negatively,4 hours or less,1,3,8,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"26-33",In the school's library,Alone,Mind mapping and visualization,YouTube videos,Yes,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Private life problems,Pressure,Bad quality of internet,Teaching language,Not having a good (powerful) computer,4,No,4,4,Positively,5-7 hours,3,8,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",In your room (dorms),Alone,Learning by practicing,YouTube videos,No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Teaching language,2,No,3,4,You do not care about,5-7 hours,2,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",At home,With a group,"Lectures, Learning by practicing, Interactive workshops","Books, Online tutorials, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Teaching language,Bad quality of internet,Pressure,Not having a good (powerful) computer,Private life problems,3,Yes,3,3,Positively,5-7 hours,3,5,5,5,5,,,,,,,,,,,,,,,,High,Moderate,Moderate,Moderate,High,Moderate,High,High,High,Moderate,High,Moderate,High,Moderate,Moderate,High,11,12
Female,First year,Science,"10-17",In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos, Private courses",Yes,Teachers' teaching method,Not having a good (powerful) computer,Bad quality of internet,Teaching language,Lack of previous knowledge or experience in the field,Lack of time,Pressure,Private life problems,1,Yes,1,3,You do not care about,4 hours or less,5,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"18-25",In your room (dorms),Alone,"Mind mapping and visualization, Interactive workshops",YouTube videos,No,Lack of time,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,2,No,3,1,Positively,8 hours or more,4,6,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teachers' teaching method,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,1,Yes,2,4,Positively,5-7 hours,2,7,7,6,8,,,,,,,,,,,,,,,,High,High,High,Moderate,Moderate,High,High,High,High,Moderate,Moderate,High,High,High,Moderate,High,12,12
Male,First year,Mathematics,"26-33",In the school's library,Alone,Learning by practicing,Online documents,No,Lack of time,Pressure,Private life problems,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,3,No,4,3,Positively,5-7 hours,3,6,9,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"18-25",In your room (dorms),Alone,Online courses and tutorials,YouTube videos,Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of time,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Pressure,Private life problems,3,No,5,5,Positively,5-7 hours,4,7,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,2,Yes,1,2,You do not care about,5-7 hours,3,8,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"18-25",In your room (dorms),Alone,Learning by practicing,YouTube videos,Yes,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,3,No,4,4,You do not care about,5-7 hours,3,7,6,6,8,High,High,High,High,Moderate,Moderate,12,Low,High,High,Moderate,Moderate,High,11,11,,,,,,,,,,,,,,,,,,
Male,First year,Science,"18-25",In your room (dorms),Alone,"Lectures, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,Pressure,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,Not having a good (powerful) computer,3,Yes,4,4,You do not care about,5-7 hours,3,8,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Science,"34-41",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Pressure,Lack of time,Teachers' teaching method,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Bad quality of internet,Not having a good (powerful) computer,3,Yes,5,5,You do not care about,5-7 hours,3,7,9,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"18-25",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teaching language,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,4,No,4,5,You do not care about,5-7 hours,4,1,9,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"18-25",In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops","Books, Online documents, YouTube videos",Yes,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,2,Yes,3,3,Negatively,5-7 hours,4,6,5,3,3,High,High,Very High,High,Moderate,Moderate,12,Moderate,High,High,Moderate,Moderate,Low,10,11,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"18-25",In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online documents, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Pressure,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,3,No,3,3,Negatively,5-7 hours,4,7,5,6,6,Very High,High,High,High,Moderate,Very High,14,Moderate,High,Very High,High,Moderate,Moderate,13,13,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"18-25",In your room (dorms),Alone,"Learning by practicing, Interactive workshops, Online courses and tutorials","Online documents, YouTube videos",No,Bad quality of internet,Pressure,Lack of time,Teaching language,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,3,No,4,5,Positively,5-7 hours,3,4,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Third year,Technical maths,"18-25",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,2,No,3,4,You do not care about,8 hours or more,3,8,7,6,6,,,,,,,,,,,,,,,,Very High,High,High,High,High,High,High,High,High,Moderate,High,High,High,High,Moderate,High,12,13
Male,Second year,Science,"10-17",In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials",YouTube videos,No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,3,Yes,4,4,You do not care about,5-7 hours,3,6,8,5,4,Very High,High,Very High,Very High,High,High,15,High,Very High,Very High,High,High,High,14,14,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In your room (dorms),In peer,"Lectures, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Lack of time,Private life problems,Lack of previous knowledge or experience in the field,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,2,Yes,1,4,You do not care about,8 hours or more,2,8,6,7,8,,,,,,,,,,,,,,,,High,High,Moderate,High,Moderate,High,Moderate,High,High,Moderate,High,High,High,High,High,High,13,13
Female,Third year,Mathematics,"10-17",In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online documents, YouTube videos",No,Pressure,Private life problems,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,3,Yes,4,4,You do not care about,8 hours or more,3,8,8,7,7,,,,,,,,,,,,,,,,Very High,High,Moderate,High,Moderate,Moderate,High,High,High,Low,High,High,High,High,High,High,12,13
Male,First year,Mathematics,"26-33",At home,In peer,"Learning by practicing, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos",No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Bad quality of internet,Private life problems,3,No,4,5,Negatively,5-7 hours,3,5,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"18-25",In the school's library,In peer,"Learning by practicing, Interactive workshops","Online tutorials, YouTube videos",No,Pressure,Teachers' teaching method,Bad quality of internet,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Not having a good (powerful) computer,3,No,4,4,You do not care about,5-7 hours,4,6,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"18-25",In your room (dorms),Alone,Learning by practicing,YouTube videos,Yes,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Teachers' teaching method,Lack of time,Private life problems,Pressure,Bad quality of internet,3,No,4,5,You do not care about,5-7 hours,5,8,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"10-17",In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",No,Private life problems,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,3,Yes,4,5,You do not care about,5-7 hours,4,8,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"10-17",At home,Alone,"Lectures, Learning by practicing, Project-based learning","Books, YouTube videos",Yes,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Bad quality of internet,Lack of time,Lack of time,3,No,3,5,Positively,8 hours or more,3,7,6,6,5,High,High,High,High,Moderate,Moderate,13,Moderate,High,High,High,Low,Low,10,11,,,,,,,,,,,,,,,,,,
Male,First year,Science,"10-17",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Bad quality of internet,Lack of time,Pressure,Teaching language,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,3,No,4,4,Positively,5-7 hours,3,6,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"18-25",In your room (dorms),Alone,"Lectures, Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, YouTube videos",No,Bad quality of internet,Teaching language,Teachers' teaching method,Pressure,Lack of time,Private life problems,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,3,No,3,4,Positively,8 hours or more,2,6,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"10-17",In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teaching language,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Private life problems,1,No,3,5,You do not care about,5-7 hours,1,5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"26-33",In the school's library,Alone,"Learning by practicing, Mind mapping and visualization","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,Bad quality of internet,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,2,Yes,4,2,You do not care about,5-7 hours,4,8,5,5,8,High,High,High,High,High,Moderate,13,Moderate,High,High,Moderate,Moderate,Moderate,10,11,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"10-17",In your room (dorms),Alone,Online courses and tutorials,YouTube videos,Yes,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Bad quality of internet,Not having a good (powerful) computer,Teaching language,3,Yes,4,4,You do not care about,5-7 hours,4,8,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Science,"10-17",In the school's library,Alone,Learning by practicing,YouTube videos,No,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,4,Yes,2,3,You do not care about,8 hours or more,3,7,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In the school's library,Alone,"Lectures, Learning by practicing","Books, YouTube videos",No,Private life problems,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Pressure,Lack of time,Teachers' teaching method,Teaching language,3,No,1,1,Negatively,8 hours or more,3,8,8,6,2,,,,,,,,,,,,,,,,High,High,Moderate,Moderate,High,Moderate,High,High,Moderate,Low,Moderate,High,High,Moderate,High,High,11,11
Female,Third year,Mathematics,"34-41",In your room (dorms),Alone,Online courses and tutorials,"Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Teachers' teaching method,Not having a good (powerful) computer,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,2,No,2,3,You do not care about,5-7 hours,3,6,6,6,5,,,,,,,,,,,,,,,,Very High,High,Moderate,High,High,High,Moderate,High,High,Moderate,Moderate,High,High,High,High,High,12,13
Female,Second year,Mathematics,"10-17",At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos, asking friends ",Yes,Private life problems,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,2,Yes,5,4,Negatively,5-7 hours,1,7,5,3,4,Very High,High,High,High,Moderate,High,13,Moderate,Moderate,Very High,Moderate,Low,Moderate,10,11,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Project-based learning","Online tutorials, YouTube videos",No,Pressure,Lack of time,Private life problems,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,4,Yes,5,5,You do not care about,5-7 hours,3,6,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"34-41",In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Lack of time,Bad quality of internet,Pressure,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Private life problems,2,No,4,4,You do not care about,8 hours or more,2,7,6,9,8,,,,,,,,,,,,,,,,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Low,Low,Moderate,Moderate,High,Moderate,High,10,10
Female,First year,Technical maths,"26-33",In the school's library,In peer,"Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,2,No,1,1,Negatively,5-7 hours,3,6,5,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"More than 41 hours",In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of previous knowledge or experience in the field,Bad quality of internet,3,Yes,4,4,Positively,5-7 hours,4,8,9,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",In your room (dorms),Alone,Online courses and tutorials,"Books, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Lack of time,Pressure,Bad quality of internet,Teaching language,Teachers' teaching method,Private life problems,1,Yes,5,5,Positively,5-7 hours,5,6,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,3,No,3,5,Positively,5-7 hours,4,9,8,8,7,,,,,,,,,,,,,,,,Very High,High,Very High,High,Very High,High,High,High,High,Moderate,Moderate,High,High,High,High,High,13,14
Male,Third year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,Bad quality of internet,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,3,Yes,5,5,You do not care about,5-7 hours,3,9,10,10,6,,,,,,,,,,,,,,,,High,High,Very High,High,Very High,High,High,Very High,High,High,Moderate,High,Very High,Very High,High,High,14,14
Female,First year,Mathematics,"More than 41 hours",In the school's library,Alone,"Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Private life problems,Lack of time,Pressure,3,No,5,5,Negatively,5-7 hours,1,9,9,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"More than 41 hours",In the dorms' library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Teachers' teaching method,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Not having a good (powerful) computer,Bad quality of internet,Private life problems,1,Yes,5,1,Negatively,5-7 hours,1,4,8,7,9,High,Moderate,High,High,High,Moderate,11,Moderate,High,Moderate,High,Moderate,Low,10,11,,,,,,,,,,,,,,,,,,
Female,First year,Technical maths,"10-17",In your room (dorms),Alone,"Lectures, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Teaching language,Private life problems,2,No,4,3,You do not care about,5-7 hours,2,6,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"34-41",In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Teachers' teaching method,Not having a good (powerful) computer,Bad quality of internet,Teaching language,2,Yes,3,3,Positively,5-7 hours,2,9,3,4,7,Very High,High,High,High,High,High,14,Moderate,High,Very High,Moderate,Moderate,High,12,13,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",In the school's library,With a group,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of time,Pressure,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,2,Yes,3,4,You do not care about,8 hours or more,1,7,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"More than 41 hours",In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning","Books, Lectures",Yes,Bad quality of internet,Bad quality of internet,Bad quality of internet,Bad quality of internet,Bad quality of internet,Bad quality of internet,Bad quality of internet,Bad quality of internet,3,Yes,5,5,Positively,5-7 hours,4,6,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"18-25",In your room (dorms),Alone,"Lectures, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,2,No,3,3,You do not care about,5-7 hours,2,9,6,7,7,High,High,High,High,Moderate,Moderate,13,Moderate,High,High,High,Moderate,High,11,12,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"10-17",In your room (dorms),In peer,Learning by practicing,"Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Pressure,Lack of time,Teaching language,Private life problems,Not having a good (powerful) computer,2,Yes,5,4,Positively,5-7 hours,1,8,3,3,6,High,High,High,High,High,High,14,Moderate,High,Very High,High,Moderate,Low,10,12,,,,,,,,,,,,,,,,,,
